0xa20d4c83fee654a477d242d8c85450334a2a07ba.sol,0.4.17,KALIToken
0x4f464372d8f8a89e99ce56658ec1fd8f883394e7.sol,0.4.26,EDISON
0xaf448eda0c5fe6f80d53a5b89d300b2047322b11.sol,0.5.11,Crowdsale
0x4e48b77320858fc33a6f1ad2f15163a3b0be89ba.sol,0.4.24,HackPoints
0x8a97381a9d17492a24764c399b7e8c96e519fb26.sol,0.5.8,burntest
0x2c9ff8cd4266de4ba3a8a8e53391853cdb595c23.sol,0.6.2,ERC20FixedSupply
0x9bec6ae09e800fb759acbeb385af47e5d7e12176.sol,0.4.24,MarsToken
0x5facec6e543e1a4acf46f0dbe25d85e6cc48eaec.sol,0.4.22,Lamp888Token
0x80904e09e4735e5c88745204e367cb1fd755a11d.sol,0.4.16,TokenERC20
0x09a8f8cba6ffcebc57e4a0ab9110f6bb774b4c97.sol,0.5.11,DharmaDaiImplementationV0
