0x37c888dabf0c1bebbe917e890b054ae7739fc8c4.sol,0.5.0,BDCoin
0xb5a4afeb172af3d6a5401b3a345751dd5c96c1ca.sol,0.5.8,Token
0x89cebeb968bc84e5767c3963c74d6a455d88d086.sol,0.4.24,BiCoin
0xaa79b0c8455ca04c3733de0ce412f4cab5d3ac0a.sol,0.4.25,UDEFI
0xb2a6518c6cb1690671ec6a25d558815d59bac4cb.sol,0.5.8,burntest
0x60ec679cf3a48d89efa774fccd3dc59ef1401330.sol,0.5.10,NXTG_ERC20
0xaf21f6509d0e0318254d9e766a4f8c00fbdcdad8.sol,0.4.18,GOTOURCOIN
0x823b56c714449e25bf68ec66fd30925cf7588e52.sol,0.5.16,ShareholderVomer
0x8084db66552b505cbf18359cb4ead0fb059c65d8.sol,0.4.26,ZJYB
0x404fa8f91433b11f83b0CBFa48CD160F73926C69.sol,0.4.23,MainToken
