0x5cef8c37ab75fc56cd50e17692f39ac7bc189075.sol,0.4.16,ERC20Token
0x209ecd0957597c207862d94a311130672aa95a0c.sol,0.4.24,pars
0x8e669833c68d337043dcad63fd67b27571e3e741.sol,0.4.26,SPTToken
0xb3889cc313334de5431325c17c76aad71054d3ac.sol,0.5.0,Staking
0x4f2ab07be7ab76421d8065db36c4d042227654cb.sol,0.4.17,NICToken
0x61a1c1bb52137c49677c4d9b3124d11887076d68.sol,0.5.0,LOTTO9
0x30829169cec991894546ed4887bfd9bfd3e69429.sol,0.4.24,SMT
0x63a4936b8b471435d7af0646ed1429140e59acc2.sol,0.4.24,NKCL
0x33e1b26d699d923e4cdba286cc5783d3c04831c3.sol,0.5.10,ART
0x0ebf6382f828255a565bf2c61938fa49cb3b922e.sol,0.5.16,Ribera
