0x7B8863BcD2c68A01F7A43EB8631Ff9fAD127d510.sol,0.5.1,UVO
0x70bb80b39a361aba7695420157792d59791ce24d.sol,0.4.20,ERC20Token
0x56c7bb2ef6357be01c5dbd8a29a4365aed559596.sol,0.4.24,EthereumGasChain
0x6e3ff866605b5565736b0e00c724d40dc29f8bf9.sol,0.5.0,SocialContactVideoChainToken
0x1e79691646dd50c92efc4db591b0ba05c7e264c5.sol,0.4.17,HYDRAToken
0x8073679f7eec97478695fae06d5522b0caa3127c.sol,0.5.1,HKDOLLARSTABLECOIN
0xb6F545E90a4c45891E9cb8f8834e9EE0c0A98a22.sol,0.4.23,MainToken
0x8B90515C7a99b7Edd97702c04d1E3666281De1B0.sol,0.5.16,P1FundingOracle
0x07F56574eE85a0CCB64D29dc1ddff2cA32778dbe.sol,0.5.12,RecipientWhitelistPoolToken
0x6056d0d895fc2b4bd48616e613447d79ebc443e2.sol,0.5.0,HUC
