0x32d630f26631f738f5b935484460e5f9bac0f067.sol,0.5.10,ZTokens_ERC20
0x747d3780e8a78e644e20b2d1d4df51c42814b34e.sol,0.4.25,BitcoinProtocol
0xAafF21aC2aA892DbCA01D8543db87725E097B78C.sol,0.4.23,KBHToken
0x5323ab0fb78c20ed32ef1ed0a4b529942aa3e026.sol,0.4.20,ERC20Token
0x2121a1b68e9c2cc8ff4bfd8bcd0f891ece331c51.sol,0.5.10,TANTAN
0x7c0e3fe680b74d7bd36f581bc81e2fccc1afc62b.sol,0.5.14,cTokenKyberBridge
0x9d0254cd4698949909fd6d13571d8a3549b2f8fb.sol,0.5.8,Viet_Nam_Cong_Hoa
0x4c75e5a69b3fd89e32c08344fab8c688938bdb5c.sol,0.5.16,Euclideum
0x5c3e96662397a75e334ca2db3c9835bdb0b2cb8e.sol,0.5.11,OTC
0x3942b4dab270b85f20c7d40178862cb7b877edc8.sol,0.4.24,Lampgram
