0xa87b716932df803b8e403bb1fa44c0e781752f38.sol,0.6.0,InterWork
0x23f62df9756786f993eb7a49af1afbba73c23d84.sol,0.5.16,YFID
0x3dbb9fa54efc244e1823b5782be8a08cc143ea5e.sol,0.4.24,Aggregator
0xa5a2892d3fbb46d461d990469d5b797a1e6655cc.sol,0.4.16,ERC20Bich
0x9ebe8f55d4b727afa29d887b80010f3d0054d207.sol,0.5.0,Qontender
0xa1c449ae115ac8e5148b49a761eb9827e8126347.sol,0.4.24,SUCRE
0x7a222dA5383bD38e3cBA987a19F03d576b4cb21f.sol,0.5.15,ERC20Token
0x48783486ddD7fa85ECa6B0C4AE8920Bc25DfbcD7.sol,0.4.24,GoMoney2
0x467223c2ddb9c08cc4c8fdb83d9a89837aeba70b.sol,0.5.0,StandardToken
0x0213415ca0be50a440fb88be470753549b2980af.sol,0.4.26,NEWTON
