0x998ac5fda28760bcb575c45f6c641ef9a154a081.sol,0.5.11,MoralityCrowdsale
0x703f9ae24753380853e436ff60170dc0ea234a96.sol,0.4.24,KZB
0x0B96eDCBF6C4a96b672034F12BAdF098de6eA26C.sol,0.4.23,MainToken
0x0bb8286ae679348402cdf13329e9d211ee795c55.sol,0.4.24,BFDX_LEO_D
0xB20B932A35aC1396835772c459591197130980Dd.sol,0.5.0,MetricsGroup
0x7350ac18b434454501b35166d823714af8a1a4fc.sol,0.4.25,TEST
0x2dbe823bbb134274b463b7ae001961f36d2bbcad.sol,0.4.24,RemiChain
0x82619a31ab374f4b3d0ef8a74d8dc84d6a5c751d.sol,0.4.17,Coin98Token
0x1a59c5bb473c734e7050e9ef26f93c98184b3e6c.sol,0.4.16,TokenERC20
0x26f57f35a4ae934df990e7ccd9172c4c3e14f286.sol,0.4.23,CHEX
