0x3b3ad8a4acb7d0dcdf9f9d82e603c1cc5bb9408b.sol,0.4.18,DOGESTABLECOINTOKEN
0x6fe16816d3d05e702af450f6adb094e4346715ac.sol,0.5.0,SlashToken
0x12a7e9e733480483ac5269212347934371d1a568.sol,0.4.24,Aggregator
0x770e49dddd3d65be1682f318717d6e3e23518349.sol,0.5.0,ERC20
0x3989cadb8a41bf987117be349b6c610f01996caf.sol,0.4.17,TetherToken
0x368ce0d279FF970f616E1E460d413bc44082dF0E.sol,0.5.0,LOTTO9
0xb07f5e43ec06c81758ea9e4f2bf0d9b4a98110d0.sol,0.4.26,Cloud
0xae1ff698ce46a7607dde1261e59762125b838626.sol,0.5.10,TokenSwap
0x0a87b2379637ebcd743fd5c23ff1c5731556ef84.sol,0.4.26,MONROE
0x34b780d5782ff49632fdeb34efe71fd7d89779a5.sol,0.4.18,VACHIER
