0x2de050c0378d32d346a437a01a8272343c5e2409.sol,0.4.24,Aggregator
0xaeb330ed69bb596589d102ef6a21fef9a09c780e.sol,0.4.26,FairDice
0x7c4a899b680651939e134f9225775e9f0adf303a.sol,0.6.6,AccessControlledAggregator
0x2da6482c770c55b23f66a6190e8bb76862419aaf.sol,0.4.18,CapitalCoinClassic
0x2acf7db66b767a431acfdfe9f8834ddf5835c53d.sol,0.5.11,GlobalCoin
0x9135D92e3A34e2A94e4474B74b9DC2d51118eeD5.sol,0.5.2,SimpleToken
0x425e539f5c7bba689a75ee8238fd8dcb7a82fb7b.sol,0.4.17,RABToken
0xAccE090ABee68402A2FB8E3Acbc31b58a9341466.sol,0.5.10,Collateral
0x8f606283c8c2f099810e3354b7278bef95f31a4a.sol,0.4.17,SDCPToken
0x32b0ccfd4a9911fb59ad3a55c5d6545c1b7ede5c.sol,0.4.24,DouCoinTT
