0x2B9234eEC1125F60a0c74Fe47f5cBa5DBa53a760.sol,0.4.25,CyPunk
0x29d850fd5d401d31a9ca43f9c05b0a04f27f008f.sol,0.5.16,POLKACOIN
0x4e7339f6bc01899772f18397f29ad64c07d3ddc0.sol,0.4.16,sneAdvancedToken
0x5513d6a79b7a2d1734fc590d8071e45e73aa2dae.sol,0.5.0,Staking
0x11d147e8d39F59aF00e159C4b1fe3a31D58A2C66.sol,0.5.11,WHIVE
0x9079F3343E895538C777d75f44a8De451f641906.sol,0.4.24,FJTX10X02
0xb020ed54651831878e5c967e0953a900786178f9.sol,0.4.24,BazToken
0x705794a33b0acdd9c47ad363c82a45a20056f734.sol,0.4.19,OldminToken
0x4c14114c107d6374ec31981f5f6cc27a13e22f9a.sol,0.4.24,SToken
0x669f9d7d73a9aa0e21d8dd5f66d8846a5422b43a.sol,0.5.0,Staking
