0xacfd10b53392c1879df4f8b9492763b48a64aa38.sol,0.4.18,CACPLUS
0x6fffd2eed8553d674d69894ff44f2d55717b363b.sol,0.5.3,BasicToken
0x33afa6514ad44594b1886859165b9aa641bdaba9.sol,0.5.0,LOTTO9
0x3720b72c4f0b9f2d684ecf04c2945a7100c56d8b.sol,0.4.17,TetherToken
0x5f58058c0ec971492166763c8c22632b583f667f.sol,0.4.26,BancorNetwork
0x0c2e3bbc4646c872a3F5A745D2902aFFda82C58a.sol,0.4.25,FlashXCoin
0x487C3DBBEE2f67Dc8C6eB06Cee6f0Cc2501c58C7.sol,0.5.0,TokenMintERC20Token
0x28c57fadaf89f2ab6f4a12972007daa841b9cfc4.sol,0.5.4,PAIIK
0x3bde675fe78ca4f11aeb719123d5dbe7c207cdf1.sol,0.5.11,Morality
0x4aa8a69d141d3315c100516390bdb63c2f3af291.sol,0.6.6,KyberRateHelper
