0x4cca21e62645b6060186f61350060405d40ce86b.sol,0.4.24,Queso
0x78A52E12c7b63d05c12F9608307587CF654EC3d0.sol,0.4.23,MainToken
0xb119ce94d098c18fe380904c24e358bd887f00be.sol,0.5.0,MACH
0x2b0809033d82d5d752b71305df631fb45da76934.sol,0.4.24,BRSToken
0xa13d570cea90d9ae0aae2c2bba975645bc82ae85.sol,0.4.18,RIZIN
0x39815A737f458A26520F2eb696f955Aa7185A12A.sol,0.4.18,AmpleCoin
0x4c84e5b48cbacad5dbfa28eebb75637b3707dee8.sol,0.4.19,COIN
0x9043d4d51c9d2e31e3f169de4551e416970c27ef.sol,0.5.2,DSToken
0x9ec022f82c5004a2fd71ce354ea2e57baf6b81ab.sol,0.5.10,_TippProtocolToken
0x36a22096cfb062c23dd35dc5512244dba4139a44.sol,0.5.0,TokenMintERC20Token
