0x3d319ff69853a3359ca56ff2b2e7ed88bd871b37.sol,0.4.24,SAPToken
0x5f8e07652f6c8e8cf70037117f0221c3e47e72e0.sol,0.5.0,StableAMM
0x09af99b655e39b0469782af86502694a1fbcf2be.sol,0.4.24,OxHKDToken
0xa8892bfc33fa44053a9e402b1839966f4fec74a4.sol,0.6.7,ERCToken
0x97d2bc16293a32cd73d5709eb53be8d5cc19f359.sol,0.5.7,PHC
0x5712a71287b8096Aad806059b0F0e5e31Fb575D1.sol,0.6.1,ThaiBahtDigitalToken
0x4eaF6dc24529C8147350ca6ca1097CDe5F9Ea663.sol,0.4.19,TokenERC20
0x1e1b3e5821099977e3b3fa7489a90bcfdea490d0.sol,0.4.23,MainToken
0x60c409d9135aae95d53b44fef6adf371db9260fb.sol,0.4.18,TICOEXCHANGE
0x167915E976B422E5B83DBAdcfb9dbb302fc25F55.sol,0.4.24,Santa
