0x617F7C416ceC4361246fac916feeB187d0C3e970.sol,0.5.8,Flat
0xafb4785303b6dac4b6f125a271d9cf8b62f71e78.sol,0.4.19,ZorroToken
0x7ffe4e2883754f334c542968cf7ce8aaea47f3f0.sol,0.5.0,Staking
0x6c6a59a7346df8e95f7a0d07204f88e812dc726e.sol,0.5.14,cTokenKyberBridge
0x4704697f1390d1d1d7c898094bba44b53e9fdec2.sol,0.5.0,TokenMintERC20Token
0x5c7b52bdb09d9889159573aa98c06d325feab6d3.sol,0.4.24,FFCToken
0x52b4f84d785317039868acf2600b47c64d8f96f7.sol,0.4.24,PAYTRADEX
0x738e20a5442f40056e7085e386e2ff9284d8d402.sol,0.4.26,TokenERC20
0x98439bb859c63cf1b0b24610d4e83ca2c0e8981f.sol,0.5.4,SafeLife
0x6b136b14282f31728a6fc4982bafab53be732fff.sol,0.5.16,ResultCoin
