0x6b8619880430a76a8ad02d6162ccafafeb57bcba.sol,0.5.11,LIFE
0xb69b5d25d3bd86cb784eff51444c9ee61e6b1427.sol,0.5.1,GBPOUNDSTABLECOIN
0x1B118c419Ab9bEED0d211c9d63F740f6d2628B04.sol,0.4.20,ERC20Token
0x46f4e420c75401494a39b70653f4bbb88ad2d728.sol,0.5.0,DeflationToken
0x9c186a6c1566372270beb87b78feb0a179a80a1f.sol,0.4.24,MECToken
0x78886f538c0FAd33D777a325Ff2F9E54e4B70c67.sol,0.5.10,DETH
0xB6d64221451edBAc7736d4C3dA7fc827457dEc03.sol,0.5.4,BaseWallet
0xb63bef397191b5677a2987b26a70fb3c76630e16.sol,0.4.17,MBCToken
0x9cb31da7bd0cc9303a42b1ebafe0d361670b4e6c.sol,0.4.23,MainToken
0x94212d47350837a4f2108e9a3190b8759a929a80.sol,0.4.24,DEWToken
